MWSC,N,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),deltaH,logt,e_logt,Nt
5311,6309,MWSC_5311        , , ,242.905,-23.215,351.58,20.219,0.02,0.085,0.155,-1.47,-2.59,2,23,63,1410,0.479,10.9,0.23,0.153,0.02,9.05,       ,-1
5312,4502,MWSC_5312        , , ,242.895,-15.96,357.392,25.109,0.015,0.095,0.17,0.28,-5.61,1,13,28,2910,0.562,12.5,0.27,0.18,0.025,9.1,       ,-1
5316,7915,MWSC_5316        , , ,243.81,-22.37,352.845,20.185,0.015,0.11,0.21,-1.17,-4.42,2,27,74,1390,0.729,10.95,0.35,0.233,0.045,8.87,       ,-1
5318,4686,MWSC_5318        , , ,245.175,-17.235,357.893,22.621,0.025,0.08,0.15,-3.35,-1.51,3,12,24,1169,0.5,10.5,0.24,0.16,0.02,9.585,       ,-1
5319,4441,MWSC_5319        , , ,245.25,-15.143,359.69,23.908,0.02,0.09,0.165,-0.44,-1.67,2,17,48,1326,0.271,10.7,0.13,0.087,0,9.5,       ,-1
5321,3614,MWSC_5321        , , ,246.708,-8.927,6.076,26.616,0.02,0.08,0.14,-1.25,-4.16,3,14,36,7655,0.094,14.45,0.045,0.03,-0.05,9.27,       ,-1
5323,3898,MWSC_5323        , , ,246.765,-7.17,7.707,27.606,0.018,0.1,0.17,2.94,-6.94,3,26,36,1925,0.396,11.55,0.19,0.127,0,9.375,       ,-1
5326,6914,MWSC_5326        , , ,248.197,-17.143,359.941,20.449,0.02,0.093,0.18,-7.74,-8.91,4,28,84,1637,0.25,11.15,0.12,0.08,0,9.485,0.015,2
5329,5657,MWSC_5329        ,r,c,250.762,-9.84,7.837,22.837,0.02,0.1,0.175,1.28,-3.01,1,27,58,1111,0.375,10.35,0.18,0.12,0.035,9.65,       ,-1
5333,2366,MWSC_5333        , , ,252.225,16.9,35.462,34.51,0.03,0.09,0.17,-2.58,-2.76,3,13,32,1968,0.25,11.55,0.12,0.08,0.02,9.35,       ,-1
5337,4723,MWSC_5337        , , ,256.852,-3.335,17.276,21.294,0.018,0.07,0.125,-5.61,-5,3,17,36,1791,0.573,11.45,0.275,0.183,0.015,9.39,0.024,3
5338,3516,MWSC_5338        , , ,256.947,12.105,32.395,28.423,0.02,0.09,0.165,-0.35,-5.13,3,17,39,2767,0.125,12.25,0.06,0.04,0.02,9.405,       ,-1
5340,4096,MWSC_5340        , , ,257.617,6.425,26.981,25.357,0.02,0.1,0.17,-1.24,-2.51,3,18,46,1361,0.25,10.75,0.12,0.08,0,9.465,0.078,3
5343,2934,MWSC_5343        , , ,258.592,17.3,38.555,29.006,0.018,0.06,0.135,-3.78,-4.64,2,8,29,1626,0.291,11.15,0.14,0.093,-0.02,9.355,0.022,4
5344,4713,MWSC_5344        , , ,258.87,4.57,25.8,23.398,0.012,0.1,0.185,-2.22,-2,1,14,38,1604,0.229,11.1,0.11,0.073,0,9.32,0.041,3
5346,5089,MWSC_5346        , , ,259.3,2.212,23.764,21.91,0.02,0.09,0.18,-0.81,-3.35,3,16,47,1952,0.458,11.6,0.22,0.147,0.02,9.31,       ,-1
5348,3268,MWSC_5348        , , ,259.777,13.505,35.107,26.477,0.012,0.07,0.11,-1.31,-2.65,1,17,27,3440,0.208,12.75,0.1,0.067,0,9.5,       ,-1
5350,5177,MWSC_5350        , , ,260.505,4.915,26.947,22.112,0.022,0.075,0.145,-1.95,-5.04,4,25,50,1914,0.281,11.5,0.135,0.09,0,9.475,       ,-1
5351,4787,MWSC_5351        ,r,c,260.805,5.342,27.505,22.041,0.018,0.07,0.12,-0.68,-4.2,2,11,30,1288,0.312,10.65,0.15,0.1,0,9.2,       ,-1
5354,3771,MWSC_5354        , , ,261.345,13.465,35.751,25.067,0.018,0.12,0.21,0.84,0.32,1,20,34,1004,0.437,10.15,0.21,0.14,0,9.25,       ,-1
5356,6259,MWSC_5356        , , ,262.096,2.89,25.813,19.766,0.02,0.12,0.18,-3.67,-2.4,1,20,31,1151,0.291,10.4,0.14,0.093,0.02,9.205,       ,-1
5358,5725,MWSC_5358        , , ,264.292,6.135,29.937,19.304,0.013,0.08,0.15,-4.39,-7.61,1,19,48,1553,0.448,11.1,0.215,0.143,-0.01,9.07,0.034,4
5359,5145,MWSC_5359        , , ,264.532,6.618,30.508,19.307,0.018,0.08,0.13,-1.96,-9.34,2,29,41,1721,0.375,11.3,0.18,0.12,0,9.205,       ,-1
5365,3319,MWSC_5365        , , ,268.56,28.85,54.222,24.369,0.02,0.08,0.13,0.42,-3.73,2,15,24,2354,0.437,12,0.21,0.14,0,8.985,0.078,3
5366,3590,MWSC_5366        , , ,269.782,31.83,57.691,24.307,0.02,0.075,0.145,4.04,-4.4,4,12,34,1658,0.16,11.15,0.077,0.051,-0.02,9.285,       ,-1
5367,5658,MWSC_5367        , , ,270.792,20.102,46.186,19.361,0.017,0.08,0.155,0.74,-8.45,3,17,51,2044,0.458,11.7,0.22,0.147,0,9.15,       ,-1
5368,4649,MWSC_5368        , , ,270.862,19.447,45.574,19.046,0.012,0.065,0.105,0.96,-3.3,2,16,28,2597,0.396,12.2,0.19,0.127,0.03,9.255,       ,-1
5370,3584,MWSC_5370        , , ,280.807,46.775,75.889,20.739,0.02,0.09,0.135,-4.6,-0.5,2,15,23,1454,0.583,11,0.28,0.187,0.02,9.35,       ,-1
5371,3771,MWSC_5371        , , ,282.127,47.235,76.657,20.03,0.017,0.075,0.14,-3.65,-0.91,2,15,42,1902,0.323,11.5,0.155,0.103,0,9.035,0.042,3
5373,3455,MWSC_5373        , , ,286.35,56.34,86.739,20.457,0.011,0.07,0.13,-0.66,-2.47,1,12,34,1664,0.291,11.2,0.14,0.093,0,9.1,       ,-1
5374,3741,MWSC_5374        , , ,289.567,60.64,91.659,20.27,0.022,0.1,0.175,2.02,4.23,2,14,30,1732,0.333,11.3,0.16,0.107,-0.02,9.26,       ,-1
5377,3227,MWSC_5377        , , ,323.391,78.256,113.502,19.189,0.011,0.085,0.16,1.61,1.94,1,22,44,1434,0.364,10.9,0.175,0.117,-0.03,9.245,0.033,2
5533,3143,MWSC_5533        ,r,c,12.097,41.6,122.314,-21.271,0.022,0.08,0.16,6,-1.45,3,9,16,2853,0.229,12.35,0.11,0.073,0.03,8.8,       ,-1
5558,2290,MWSC_5558        , , ,20.677,37.965,129.693,-24.499,0.025,0.09,0.16,3.1,-3.16,4,17,33,2020,0.229,11.6,0.11,0.073,0,9.125,       ,-1
5571,2801,MWSC_5571        , , ,27.937,41.5,134.889,-19.971,0.015,0.1,0.155,1.17,-3.19,2,19,45,1397,0.229,10.8,0.11,0.073,0,9.31,       ,-1
5572,1780,MWSC_5572        , , ,28.575,-78.965,299.175,-37.698,0.02,0.07,0.14,3.27,-11.38,2,7,14,1472,0.187,10.9,0.09,0.06,0.04,9.3,       ,-1
5575,2184,MWSC_5575        , , ,29.925,-83.05,300.483,-33.748,0.015,0.09,0.15,6.33,-2.5,1,10,20,2191,0.302,11.8,0.145,0.097,0.015,9.2,       ,-1
